Namespace(c=100, eta=0.05, mclass='hg', n=200, p=0.1, r=20, reg=0.15) final RMSE: 4.7618065164791235
Namespace(c=100, eta=0.1, mclass='hg', n=200, p=0.1, r=20, reg=0.15) final RMSE: 4.7152519333920715
Namespace(c=100, eta=0.05, mclass='hg', n=200, p=0.2, r=20, reg=0.15) final RMSE: 3.8190043875373942
Namespace(c=100, eta=0.05, mclass='hg', n=200, p=0.2, r=20, reg=0.2) final RMSE: 3.802449798458954
Namespace(c=100, eta=0.1, mclass='hg', n=200, p=0.2, r=20, reg=0.15) final RMSE: 4.21685554374524
Namespace(c=100, eta=0.05, mclass='hg', n=500, p=0.1, r=25, reg=0.15) final RMSE: 4.584086791996053
Namespace(c=100, eta=0.05, mclass='hg', n=500, p=0.1, r=25, reg=0.1) final RMSE: 4.692146381893049
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.2, r=20, reg=0.0, v=False) final RMSE: 4.615034839402651
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.2, r=20, reg=0.0, v=True) final RMSE: 4.556178821385525
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.2, r=20, reg=0.15, v=True) final RMSE: 2.846690879255683
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.5, r=20, reg=0.1, v=True) final RMSE: 0.10703675347600637
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.2, r=15, reg=0.1, v=True) final RMSE: 0.656269758230191
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.27360810396187685
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.2, r=15, reg=0.0, v=True) final RMSE: 3.7838314084289597
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.7641337201770273
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.1, v=True) final RMSE: 1.207595540949989
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.02, v=True) final RMSE: 0.4208014963233251
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.7180623192574447
Namespace(c=100, eta=0.0, mclass='hg', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.773354513432962
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.7330520352947596
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.7857610505834783
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.25, r=15, reg=0.05, v=True) final RMSE: 0.5164646810804892
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.25, r=15, reg=0.05, v=True) final RMSE: 0.1302981864445612
Namespace(c=100, eta=0.0, mclass='ls', n=200, p=0.25, r=15, reg=0.0, v=True) final RMSE: 0.0010922196227152667
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.25, r=15, reg=0.0, v=True) final RMSE: 0.13457645401215182
Namespace(c=100, eta=0.0, mclass='lad', n=200, p=0.25, r=15, reg=0.0, v=True) final RMSE: 0.12010893413473753
Namespace(c=100, eta=0.05, mclass='lad', n=200, p=0.25, r=15, reg=0.1, v=True) final RMSE: 0.5284546991433965
Namespace(c=100, eta=0.05, mclass='lad', n=200, p=0.25, r=15, reg=0.05, v=True) final RMSE: 0.16689384851174835
Namespace(c=100, eta=0.05, mclass='lad', n=200, p=0.25, r=15, reg=0.05, v=True) final RMSE: 0.1758680685328627
Namespace(c=100, eta=0.05, mclass='ls', n=200, p=0.25, r=15, reg=0.05, v=True) final RMSE: 4.024488127339429
Namespace(c=100, eta=0.0, mclass='hg', n=200, p=0.25, r=15, reg=0.0, v=True) final RMSE: 0.0002509572445671979
Namespace(c=100, eta=0.05, mclass='hg', n=200, p=0.25, r=15, reg=0.05, v=True) final RMSE: 1.3423344315372718
Namespace(c=100, eta=0.05, mclass='hg', n=200, p=0.3, r=15, reg=0.05, v=True) final RMSE: 0.8332239968791043
Namespace(c=100, eta=0.05, mclass='hg', n=200, p=0.3, r=15, reg=0.0, v=True) final RMSE: 0.10474802148598687
Namespace(c=100, eta=0.05, mclass='lad', n=200, p=0.3, r=15, reg=0.0, v=True) final RMSE: 0.10870476075343775
Namespace(b=100.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.25, r=20, reg=0.01, v=True) final RMSE: 0.28798569957983866
Namespace(b=100.0, c=50.0, eta=0.0, mclass='lad', n=200, p=0.25, r=20, reg=0.01, v=True) final RMSE: 0.1894717714002269
Namespace(b=100.0, c=50.0, eta=0.0, mclass='lad', n=200, p=0.25, r=20, reg=0.01, v=True) final RMSE: 3.9413703986493998
Namespace(b=100.0, c=50.0, eta=0.0, mclass='lad', n=200, p=0.25, r=20, reg=0.01, v=True) final RMSE: 0.17629300424318145
Namespace(b=50.0, c=50.0, eta=0.2, mclass='lad', n=200, p=0.25, r=15, reg=0.15, v=True) final RMSE: 3.0221808506201997
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.0, v=True) final RMSE: 0.0033093280693134944
Namespace(b=50.0, c=50.0, eta=0.0, mclass='lad', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.24359850527677285
Namespace(b=150.0, c=50.0, eta=0.2, mclass='lad', n=200, p=0.25, r=15, reg=0.15, v=True) final RMSE: 3.1195591769237407
Namespace(b=150.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.8030419415744502
Namespace(b=150.0, c=50.0, eta=0.2, mclass='hg', n=200, p=0.3, r=15, reg=0.05, v=True) final RMSE: 3.30358408369468
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.0, v=True) final RMSE: 3.880410650670126
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.7924542230773348
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 0.8000460698473866
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.2, r=15, reg=0.01, v=True) final RMSE: 0.245212038437418
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ls', n=200, p=0.22, r=15, reg=0.01, v=True) final RMSE: 4.076783412444626
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.1, v=True) final RMSE: 1.5806107720213929
Namespace(b=50.0, c=50.0, eta=0.1, mclass='lad', n=200, p=0.2, r=15, reg=0.1, v=True) final RMSE: 3.170951886371547
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.031018446322687
Namespace(b=50.0, c=50.0, eta=0.1, mclass='lad', n=200, p=0.2, r=15, reg=0.1, v=True) final RMSE: 3.0079061566114054
Namespace(b=50.0, c=50.0, eta=0.1, mclass='lad', n=200, p=0.2, r=15, reg=0.15, v=True) final RMSE: 2.616278476294333
Namespace(b=50.0, c=50.0, eta=0.1, mclass='lad', n=200, p=0.2, r=15, reg=0.2, v=True) final RMSE: 2.9810236659364393
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=200, p=0.18, r=15, reg=0.05, v=True) final RMSE: 0.9267096379936818
Namespace(b=50.0, c=50.0, eta=0.1, mclass='hg', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 3.2371372763251154
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.187595161370617
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.1756138896478836
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.5740223598612046
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.3913147069433938
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.4172890605672295
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.497031653227927
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.5620047891974422
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.5990110734479341
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.0610365264831323
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.063926458720164
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.0492771618422867
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.0695433857315342
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.0521745546705321
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.1289289528609474
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.002837431165343
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.0343835345494143
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 1.1229096443234698
Namespace(b=50.0, c=50.0, eta=0.1, mclass='hg', n=200, p=0.2, r=15, reg=0.05, v=True) final RMSE: 3.3101492357131677
Namespace(b=50.0, c=50.0, eta=0.1, mclass='hg', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 1.104123180879637
Namespace(b=50.0, c=50.0, eta=0.1, mclass='lad', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 0.7675068830597979
Namespace(b=50.0, c=50.0, eta=0.15, mclass='lad', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 4.920385926294729
Namespace(b=50.0, c=50.0, eta=0.15, mclass='lad', n=500, p=0.2, r=30, reg=0.15, v=True) final RMSE: 4.366217627387284
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 0.9552360785857437
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=500, p=0.17, r=30, reg=0.05, v=True) final RMSE: 0.9619032502630364
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=500, p=0.17, r=30, reg=0.01, v=True) final RMSE: 0.2648691325867368
Namespace(b=50.0, c=50.0, eta=0.1, mclass='rone', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 4.799079042502651
Namespace(b=50.0, c=50.0, eta=0.15, mclass='lad', n=500, p=0.2, r=30, reg=0.2, v=True) final RMSE: 5.305228222741003
Namespace(b=50.0, c=50.0, eta=0.15, mclass='lad', n=500, p=0.2, r=30, reg=0.1, v=True) final RMSE: 3.2688618181180202
Namespace(b=50.0, c=50.0, eta=0.15, mclass='lad', n=500, p=0.2, r=30, reg=0.1, v=True) final RMSE: 3.2429670199012324
Namespace(b=50.0, c=50.0, eta=0.15, mclass='ro', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 1.108844584882207
Namespace(b=50.0, c=50.0, eta=0.1, mclass='lad', n=500, p=0.2, r=40, reg=0.1, v=True) final RMSE: 4.514413384862136
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=500, p=0.18, r=40, reg=0.05, v=True) final RMSE: 1.6510978085349195
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=500, p=0.16, r=40, reg=0.05, v=True) final RMSE: 2.2530466452418634
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=500, p=0.12, r=30, reg=0.1, v=True) final RMSE: 2.5527993095028245
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=500, p=0.16, r=30, reg=0.05, v=True) final RMSE: 1.0583241782213966
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=500, p=0.2, r=30, reg=0.01, v=True) final RMSE: 0.17496083748357266
Namespace(b=50.0, c=50.0, eta=0.15, mclass='hg', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 1.3836773473888526
Namespace(b=50.0, c=50.0, eta=0.2, mclass='lad', n=500, p=0.2, r=30, reg=0.1, v=True) final RMSE: 4.214547851818625
Namespace(b=50.0, c=50.0, eta=0.2, mclass='lad', n=500, p=0.25, r=30, reg=0.1, v=True) final RMSE: 3.3567004477363813
Namespace(b=50.0, c=50.0, eta=0.2, mclass='lad', n=500, p=0.5, r=30, reg=0.1, v=True) final RMSE: 1.6885238977958044
Namespace(b=50.0, c=50.0, eta=0.2, mclass='ro', n=500, p=0.2, r=30, reg=0.05, v=True) final RMSE: 1.448581318316248
Namespace(b=50.0, c=50.0, eta=0.3, mclass='lad', n=500, p=0.2, r=30, reg=0.15, v=True) final RMSE: 5.257677118573274
Namespace(b=50.0, c=50.0, eta=0.3, mclass='ro', n=500, p=0.2, r=30, reg=0.1, v=True) final RMSE: 3.438789609889998
Namespace(b=50.0, c=50.0, eta=0.2, mclass='ro', n=500, p=0.15, r=30, reg=0.1, v=True) final RMSE: 4.589820871731808
Namespace(b=50.0, c=50.0, eta=0.0, mclass='hg', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 0.5499146404718679
Namespace(b=50.0, c=50.0, eta=0.1, mclass='hg', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 0.791105414781641
Namespace(b=50.0, c=50.0, eta=0.0, mclass='lad', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 0.10984639099476581
Namespace(b=50.0, c=50.0, eta=0.1, mclass='lad', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 0.1660025507107663
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ro', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 0.5416471179419898
Namespace(b=50.0, c=50.0, eta=0.1, mclass='ro', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 0.6693551007808684
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=50, p=0.15, r=10, reg=0.1, v=True) final RMSE: 2.932176645109373
Namespace(b=50.0, c=50.0, eta=0.0, mclass='ls', n=50, p=0.15, r=10, reg=0.1, v=True) final RMSE: 3.028191685055582
Namespace(b=50.0, c=50.0, eta=0.2, mclass='hg', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 1.0204807398444216
Namespace(b=50.0, c=50.0, eta=0.2, mclass='hg', n=500, p=0.2, r=30, reg=0.1, v=True) final RMSE: 2.4777705173552276
Namespace(b=50.0, c=50.0, eta=0.2, mclass='hg', n=500, p=0.3, r=30, reg=0.05, v=True) final RMSE: 0.7351848114457702
Namespace(b=50.0, c=50.0, eta=0.2, mclass='hg', n=500, p=0.35, r=30, reg=0.05, v=True) final RMSE: 0.6212547692227394
Namespace(b=50.0, c=50.0, eta=0.2, mclass='ro', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 0.8424107620582311
Namespace(b=50.0, c=50.0, eta=0.2, mclass='lad', n=500, p=0.25, r=30, reg=0.15, v=True) final RMSE: 4.62317080367601
Namespace(b=50.0, c=50.0, eta=0.2, mclass='lad', n=500, p=0.25, r=30, reg=0.05, v=True) final RMSE: 2.860566083274948
Namespace(b=50.0, c=50.0, eta=0.2, mclass='ro', n=500, p=0.35, r=30, reg=0.05, v=True) final RMSE: 0.5331351708931796
